"KPS Site Report"
Site,"FELDA Sungai Tekam"
Code,FELDA-ST
Month,2026-04-01

Name,"IC Number",Phone,"Debt Count","Total Outstanding","Current Month Deduction","Latest Deduction Month"
"Ahmad bin Abdullah",650101-01-5678,"014-107 5150",2,260.00,0.00,2026-02-01
"Ali bin Hashim",650925-15-5678,"018-830 9794",2,78.00,0.00,2026-02-01
"Aminah binti Ismail",671130-10-4567,"015-225 1797",3,2033.00,0.00,2026-02-01
"Fatimah binti Hassan",700215-02-1234,"013-237 9283",1,0.00,0.00,2026-02-01
"Halimah binti Omar",740515-12-2345,"011-179 3703",2,1003.00,0.00,2026-02-01
"Hassan bin Mohamed",710412-07-6789,"016-463 9584",2,1920.00,0.00,2026-02-01
"Ibrahim bin Ali",730620-09-7890,"015-129 4640",3,4619.00,0.00,2026-02-01
"Kamal bin Yusof",640305-05-8765,"019-984 4264",2,1827.00,0.00,2026-02-01
"Mohamed bin Salleh",680820-13-6789,"019-688 3869",3,1080.00,0.00,2026-02-01
"Noraini binti Ahmad",690925-06-2345,"018-125 3225",2,2616.00,0.00,2026-02-01
"Razak bin Ibrahim",680520-03-9876,"019-881 7301",1,0.00,0.00,2026-02-01
"Rohani binti Daud",720110-14-1234,"012-625 7114",3,3180.00,0.00,2026-02-01
"Siti binti Mahmud",720810-04-5432,"013-130 6033",1,0.00,0.00,2026-02-01
"Yusof bin Hamid",690205-11-8901,"019-254 4953",1,200.00,0.00,2026-02-01
"Zainab binti Rahman",660718-08-3456,"011-270 4700",3,2593.00,0.00,2026-02-01
